,Knn_light,Knn_gradient,Knn_catboost,light_gradient,light_catboost,gradient_catboost,lg_gb_cb,Knn_gb_cb,Knn_lg_cb,Knn_lg_gb,Knn_lg_gb_cb
0,0.032982266,0.032982266,0.032982266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.032982266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.032684846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.013551861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.016538428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.018206749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.018206749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.017639919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.017639919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.017639919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.017639919,0.0,0.0,0.0,0.0,0.0166279145627878,0.0166279145627878,0.0,0.0
11,0.0,0.0,0.017639919,0.0,0.0,0.0,0.0,0.0166279145627878,0.0166279145627878,0.0,0.0
12,0.0,0.0,0.017639919,0.0,0.0,0.0,0.0,0.0166279145627878,0.0166279145627878,0.0,0.0
13,0.0,0.0,0.017639919,0.0,0.0,0.0,0.0,0.0166279145627878,0.0166279145627878,0.0,0.0
14,0.0,0.0,0.017639919,0.0,0.0,0.0,0.0,0.0166279145627878,0.0166279145627878,0.0,0.0
15,0.0,0.0,0.017639919,0.0,0.0,0.0,0.0,0.0166279145627878,0.0166279145627878,0.0,0.0
16,0.0,0.0,0.017639919,0.0,0.0,0.0,0.0,0.0166279145627878,0.0166279145627878,0.0,0.0
17,0.0,0.0,0.017639919,0.0,0.0,0.0,0.0,0.0166279145627878,0.0166279145627878,0.0,0.0
18,0.0,0.0,0.017639919,0.0,0.0,0.0,0.0,0.0166279145627878,0.0166279145627878,0.0,0.0
19,0.0,0.0,0.017639919,0.0,0.0,0.0,0.0,0.0166279145627878,0.0166279145627878,0.0,0.0
20,0.0,0.0,0.017639919,0.0,0.0,0.0,0.0,0.0166279145627878,0.0166279145627878,0.0,0.0
21,0.015941391,0.015941391,0.017639919,0.0,0.0,0.0,0.0,0.0166279145627878,0.0166279145627878,0.0,0.0
22,0.024623632,0.024623632,0.017639919,0.0,0.0,0.0,0.0,0.0166279145627878,0.0166279145627878,0.0,0.0
23,0.011925034,0.011925034,0.017639919,0.0,0.0,0.0,0.0,0.0166279145627878,0.0166279145627878,0.0,0.016627914562787893
24,0.01288825,0.01288825,0.017639919,0.0,0.0,0.0,0.0,0.0159413911711732,0.0159413911711732,0.0,0.016627914562787893
25,0.012703264,0.012703264,0.017639919,0.0,0.0,0.0,0.0,0.0498679207344491,0.0498679207344491,0.0,0.016627914562787893
26,0.011767792,0.011767792,0.017639919,0.0,0.0,0.0,0.0,0.0368504412857089,0.0368504412857089,0.0,0.016627914562787893
27,0.010413228,0.010413228,0.017639919,0.0,0.0,0.0,0.0,0.0103321209318677,0.0103321209318677,0.0,0.016627914562787893
28,0.01028989,0.01028989,0.017639919,0.0,0.0,0.0,0.0,0.0133072560835583,0.0133072560835583,0.0,0.016627914562787893
29,0.01028989,0.01028989,0.017639919,0.0,0.0,0.0,0.0,0.0123730019269084,0.0123730019269084,0.0,0.016627914562787893
30,0.01028989,0.01028989,0.017639919,0.0,0.0,0.0,0.0,0.0097476530983071,0.0097476530983071,0.0,0.016627914562787893
31,0.01028989,0.01028989,0.017639919,0.0,0.0,0.0,0.0,0.0083104780488063,0.0083104780488063,0.0,0.016627914562787893
32,0.01028989,0.01028989,0.017639919,0.0,0.0,0.0,0.0,0.0082835065496396,0.0082835065496396,0.0,0.016627914562787893
33,0.01028989,0.01028989,0.017639919,0.0,0.0,0.0,0.0,0.0082566462083563,0.0082566462083563,0.0,0.016627914562787893
34,0.01028989,0.01028989,0.017639919,0.0,0.0,0.0,0.0,0.0064635205400011,0.0064635205400011,0.0102898902970735,0.016627914562787893
35,0.01028989,0.01028989,0.017639919,0.0,0.0,0.0,0.0,0.0071687274621048,0.0071687274621048,0.0102898902970735,0.016627914562787893
36,0.01027631,0.01027631,0.017639919,0.0,0.0,0.0,0.0,0.0065711758102645,0.0065711758102645,0.0102763098415205,0.016627914562787893
37,0.01015518,0.01015518,0.017639919,0.0,0.0,0.0,0.0,0.0061637086232352,0.0061637086232352,0.0101551803849813,0.016627914562787893
38,0.01015518,0.01015518,0.017639919,0.0,0.0,0.0,0.0,0.0061637086232352,0.0061637086232352,0.0101551803849813,0.016627914562787893
39,0.011939949,0.011939949,0.017639919,0.0,0.0,0.0,0.0,0.0079172726321731,0.0079172726321731,0.0119399494487038,0.016627914562787893
40,0.011939949,0.011939949,0.017639919,0.0,0.0,0.0,0.0,0.0114462723349819,0.0114462723349819,0.0119399494487038,0.016627914562787893
41,0.010440912,0.010440912,0.017639919,0.0,0.0,0.0,0.0,0.0118006478368963,0.0118006478368963,0.0104409115592783,0.016627914562787893
42,0.006793557,0.006793557,0.017639919,0.0,0.0,0.0,0.0,0.0097733782585398,0.0097733782585398,0.0067935569136282,0.016627914562787893
